"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","2","Тесты для ручки удаления курьера","1","0","","0"
"0","","4","Тесты для ручки создания курьера","2","0","","0"
"0","","0","Параметризированный тест для ручки создания заказа","4","0","","0"
"0","","3","Тесты для ручки принятия заказа","1","0","","0"
"0","","8","Тесты для ручки логина курьера","1","0","","0"
"0","","0","Тесты для ручки получения списка заказов","1","0","","0"
"0","","3","Дополнительные тесты для ручки получения заказа по треку","0","0","","0"
